chunk,Question,Answer,Cluster_labels,index
"target=""#b38"">38 Unlike sulfonamides, sulfinamides contain a nitrogen atom that is relatively nucleophilic, and thus, sulfinamides can form stable imine-like adducts with carbonyl compounds. This feature is cleverly utilized in Ellman's sulfinamide for the asymmetric synthesis of amines. We hypothesized that the nucleophilic nature of the nitrogen, along with the electrophilic character of the S=O bond, could lead to the crossover reaction of two different sulfinamides under specific conditions. We tested various conditions, and delightfully, mild acid catalysis provided the crossover products almost quantitatively. Model tertiary sulfinamides 1a and 2b were treated with 5 mol% of TFA in DMSO at 40 °C. After 6 hours, the crossover reaction provided four sulfinamides 1a, 2b, 1b and 2a in almost equimolar amounts (Fig. ).R 1 O O R 2 R 3 O O R 4 + R 1 O O R 4 R 3 O O R 2 + R 1 R 2 R 3 R 4 + R 1 R 4 R 3 R 2 + R 1 S S R 2 R 3 S S R 4 + R 1 S S R 4 R 3 S S R 2 + R 1 N R 2 R 3 N R 4 + R 1 N R 4 R 3 N R 2 + metal RS - H + RO - + + H + R 1 S N O R 2 R 3 R 4 S N O R 5 R 6 R 1 S N O R 5 R 6 R 4 S N O R 2 R 3","Why could the nucleophilic nature of the nitrogen in sulfinamides, along with the electrophilic character of the S=O bond, lead to the crossover reaction of two different sulfinamides under specific conditions?","The nucleophilic nature of the nitrogen in sulfinamides, combined with the electrophilic character of the S=O bond, is hypothesized to facilitate a crossover reaction when two different sulfinamides are subjected to specific conditions such as mild acid catalysis.","['Catalysis', 'Enzymatic catalysis']",
"BioMetAll: Identifying Metal-Binding Sites in Proteins from Backbone Preorganization With a large amount of research dedicated to decoding how metallic species bind to protein, in silico methods are interesting allies for experimental procedures. To date, computational predictors mostly work by identifying the best possible sequence or structural match of the target protein with metal binding templates. These approaches are fundamentally focused on the first coordination sphere of the metal. Here, we present the BioMetAll predictor that is based on a different postulate: the formation of a potential metal-binding site is related to the geometric organization of the protein backbone. We first report the set of convenient geometric descriptors of the backbone needed for the algorithm and their parametrization from a statistical analysis. Then, the successful benchmark of BioMetAll on a set of more than 50 metal-binding X-Ray structures is presented. Because BioMetAll allows structural predictions regardless of the exact geometry of the side chains, it appears extremely valuable for systems which structures (either experimental or theoretical) are not optimal for metal binding sites. We report here its application on three different challenging cases i) the modulation of metal-binding sites during conformational transition in human serum albumin, ii) the identification of possible routes of metal migration in hemocyanins, and iii) the prediction of mutations to generate convenient metal-binding sites for de novo biocatalysts. This study shows that BioMetAll offers a versatile platform for numerous fields of research at the interface between inorganic chemistry and biology, and allows to highlight the role of the preorganization of the protein backbone as a marker for metal binding.",Why is the BioMetAll predictor based on the geometric organization of the protein backbone?,"The BioMetAll predictor is based on the geometric organization of the protein backbone because this approach allows the formation of potential metal-binding sites, which is different from traditional methods that focus on the first coordination sphere of the metal.","['Metal organic frameworks', 'Catalytic applications']",
"of P p = 268 MHz , we derive C 2p π spin populations of r p = 0.008 and 0.002, i.e. 0.8% at C2 and C5, and 0.2%, fat C3 and C4.Modelling of 1 H HYSCORE region for 1 involved a similar approach. We initially calculated the point dipolar H hyperfine constants for all protons of the cyclopentadienyl rings, and all protons of the methyl groups supposed to be close to the Y(II) ion. This calculation failed to reproduce the experimental data. We then added a contribution from the C 2p π spin density on the Cp' ligands, which can occur via spin polarisation of the C-H bond. Generally, the hyperfine coupling of an α-proton in a π radical has its principal values oriented with the smallest component along the C-H vector, one along the 2p π direction, and the largest component orthogonal to the 2p π and C-H directions.   ","Why did the initial calculation of the point dipolar H hyperfine constants fail to reproduce the experimental data, and how was this issue addressed?","The initial calculation failed to reproduce the experimental data because it did not account for the contribution from the C 2p π spin density on the Cp' ligands, which can occur via spin polarization of the C-H bond. To address this issue, a contribution from the C 2p π spin density was added, which helped in better matching the experimental observations.","['Quantum and theoretical chemistry', 'Quantum computing']",
"(Fig. ). CO on this Lewis acid site desorbs under vacuum at 100 ⁰C. Re-admission of CO at room temperature restores the CO band on alumina clusters but does not affect the 2252 cm -1 band (Fig. ). Further, introduction of NO on this sample does not lead to displacement of CO (Fig. ), indicative of Al(III) sites which do not form stable NO complexes, but can coordinate CO.Upon introduction of water vapor in the IR cell at room temperature on the 650 ⁰C dehydrated samples, then we heated the sample under high vacuum at 450 ⁰C, no CO adsorption band was observed at 2252 cm -1 but CO signatures on EFAL (alumina clusters) were observed (Fig. ).We then heated the sample at 650 ⁰C in the IR cell, adsorbed CO at room temperature which led to the formation of the 2252 cm -1 band (Fig. ). This confirms that Al cation strongly coordinates water under ambient conditions or at slightly elevated temperatures as the zeolite is thermally dehydrated and that high temperatures are required to reversibly dehydrate this Al species. Dehydration results in bare +3 Al cation that has to be charge balanced by Al the framework triplet.We further exposed the 650 ⁰C activated H-FAU sample to D2 at 25, 50 and 100 ⁰C (Fig. ).This led to evolution of hydrides with characteristic Al-D stretches in the 1430-1370 cm -1 region (Fig. ) . Correspondingly, OD bands appeared in the D stretching region due to heterolytic D2 dissociation on Al-O sites of extra-framework alumina (Fig. ). Al hydride formation on EFAL species (alumina clusters) was recently demonstrated for H-ZSM-5 <ref type=""bibr""",Why does NO not lead to the displacement of CO on Al(III) sites?,"NO does not lead to the displacement of CO on Al(III) sites because Al(III) sites do not form stable NO complexes, although they can coordinate CO.","['Metal organic frameworks', 'Catalytic applications']",
"by EPR. Finally, oxidation of intermediate C allows regenerating the active organophotocatalyst PC1 and a new cationic intermediate D that affords the desired product upon elimination. To further confirm the need for light, On/Off experiments were conducted and confirmed the stepwise mechanism involved in this transformation (see ESI for details) Scheme 5. Proposed mechanism for the synthesis of vinyl-SCF3 Afterwards, to further exploit the reactivity of reagent I, we decided to investigate the synthesis of benzoyl-SCF3 derivatives under organophotoredox conditions. Access to such compounds has already been demonstrated by reacting Munavalli's reagent and aldehydes under photochemical conditions. Indeed, while the Glorius 15 group reported a dual strategy using an iridium-based photocatalyst in conjunction with catalytic amount of sodium benzoate under blue LED König and co-workers employed decatungstate as photocatalyst under 385 nm LED irradiation. Inspired by these studies, we reacted reagent I and aldehyde 3a in MeCN in the presence of 5 mol% of organophotocatalyst PC1 and 5 mol% of sodium benzoate (PhCOONa) at room temperature under blue LED irradiation. Under these conditions, desired product 4a was obtained in an excellent yield of 97% (Scheme 6). Then, we investigated the scope of the reaction by functionalising several aryl aldehydes bearing different functional groups. Pleasingly, both electron donating and electron-withdrawing groups were tolerated under the reaction conditions affording the desired products in excellent yield (up to 91%, compounds 4b-4f, Scheme 6). In contrast, using 2-naphthaldeyde provided the desired product in a low yield of 22% (compounds 4g, Scheme 6). Interestingly chlorine or bromine atoms on the aldehyde starting material were tolerated and the desired products were obtained in 76% and 85%, respectively (products 4h and 4i, Scheme 6). Finally, an excellent yield of 90% was obtained when",How does the yield of the reaction using 2-naphthaldehyde compare to the yield of the reaction using aldehydes with chlorine or bromine atoms?,The yield using 2-naphthaldehyde is lower than the yield using aldehydes with chlorine or bromine atoms.,"['Catalysis', 'Homogeneous catalysis']",
"type=""bibr"" target=""#b21"">[22] though these methods are limited to quite small system sizes. Encouragingly, Grimme's quantum mechanically derived force field (QMDFF) method is capable of outputting bespoke non-bonded force field parameters for molecules comprising more than 100 atoms. Despite using fixed point charges, with no explicit polarization term, the bespoke force field reproduces both QM inter-and intramolecular energies to an accuracy of around 1 kcal/mol for small molecule benchmarks.In recent years, we have been following a similar strategy to Grimme's QMDFF, focusing more on condensed phase properties and heterogeneous systems. The basis of this approach is the density derived electrostatic and chemical (DDEC) atoms-in-molecule (AIM) scheme, which partitions the total electron density into approximately-spherical atomcentered basins. Atomic charges are derived by integrating the atomic electron density over all space and, in contrast to direct fitting of the QM electrostatic potential (ESP charges), it is possible to derive chemically-meaningful DDEC atomic electron densities and charges for both surface and buried atoms. A further advantage of this approach is that the Lennard-Jones parameters may also be computed directly from the atomic electron densities, using methods based on the Tkatcheko-Scheffler relations that are commonly used to incorporate dispersion effects into density functional theory (DFT) calculations. Similar to the Grimme approach, these non-bonded parameters are derived from a single QM optimized structure, which would be problematic if the charges show strong conformation dependence. However, Manz and",For molecules comprising how many atoms is Grimme's quantum mechanically derived force field (QMDFF) method capable of outputting bespoke non-bonded force field parameters?,More than 100 atoms,"['Quantum and theoretical chemistry', 'Unclassified']",
"from the reactants HO2 + HO2 to the same products H2O2 + O2. One first forms the oxywater (H2OO) and O2 via the transition state TS2, which is 15.11 kcal mol -1 higher than the reactant asymptote at the UCCSD(T)-F12a/AVTZ level. Then H2OO, not stable, can convert to its isomer H2O2 easily with an isomerization barrier (TS3) of 6.64 kcal mol - 1 . This isomerization process has been reported at various theoretical levels. This channel (via TS2, H2OO, TS3 to H2O2) has never been reported in the literature, although it is negligible due to its much high barrier even at temperatures up to 2000 K. The dominant channel is barrierless.At the UCCSD(T)-F12a/AVTZ level, a doubly hydrogen-bonded complex well (RC, -12.29 kcal mol -1 ) is formed before reaching a hydrogen abstraction transition state (TS1, -0.30 kcal mol -1 ).RC and TS1 have been calculated at various levels. Here only the recent high-level results by Zhou et al. are included for comparison. The energies of RC and TS1 were -12.77 and -4.21 kcal mol -1 , respectively, at CASPT2/AVTZ/CBS. The characteristics of RC by Zhou et al. were similar to the current computations. For TS1, the energy deviation between the two methods is quite large, -3.91 kcal mol -1 , due to the significant differences in the TS1 geometries. For example, the forming and breaking bond distances, respectively, are 1.340 and 1.088 Å at the UCCSD(T)-F12a/AVTZ level, compared to 1.266 and 1.132 Å by Zhou et al. In addition, as shown in Table , the imaginary frequency of TS1 is i1884 cm -1 , significantly lower",How much higher is the transition state TS2 than the reactant asymptote at the UCCSD(T)-F12a/AVTZ level?,15.11 kcal mol -1,"['Quantum and theoretical chemistry', 'Unclassified']",
"9 ( 1 )91impurities and providing a means to isolate and study individual isomeric units. Using SFC has the potential for maximum product recovery, bypassing the traditional sublimation technique.High-purity OLED compounds will ultimately contribute to high-performance and high-quality OLED-based products, further advancing the current OLED technology.The analytical SFC separation method presented here is a means to analyze OLED compounds, which is essential for impurity profiling. Learning about impurities will ultimately aid in the development of improved synthetic routes. Analysis and identification of the degradation products and impurities are critical to understanding the failure mechanism and degradation pathway to improve the development of high-performance OLED-based products and the overall advancement of OLED technology. https://doi.org/10.26434/chemrxiv-2023-8dg41 ORCID: https://orcid.org/0000-0001-8849-3708 Content not peer-reviewed by ChemRxiv. License: CC BY-NC-ND 4.0 induced generation of polaron pair within emitting layers. Nature Communications 2018, , 1-11. (12) Jurow, M. J.; Bossi, A.; Djurovich, P. I.; Thompson, M. E. In situ observation of degradation by ligand substitution in small-molecule phosphorescent organic light-emitting diodes. Chemistry of Materials 2014, 26 (22), 6578-6584. (13) Yook, K. S.; Lee, J. Y. Small molecule host materials for solution processed phosphorescent organic light-emitting diodes. Advanced Materials 2014, 26 (25), 4218-4233. (14) Xu, R.-P.; Li, Y.-Q.; Tang, J.-X. Recent advances in flexible organic light-emitting diodes. Journal of Materials Chemistry C 2016, 4 (39), 9116-9142. (15) Becker, H.; Bach, I.; Holbach, M.; Schwaiger, J.; Spreitzer, H. 5.1: Purity of OLED-Materials and the Implication on DevicePerformance. SID Symposium Digest of Technical Papers 2010, 41 (4), 39-42. (16) Fujimoto, H.; Suekane, T.; Imanishi,","What will ultimately contribute to high-performance and high-quality OLED-based products, further advancing the current OLED technology?",High-purity OLED compounds,"['Advanced materials and nanotechnology', 'Nanomaterials']",
"MagnetismAfter generating the sixty-three intercalated structures, we performed a preliminary structural optimization. This procedure determined if our compounds possess spin-polarized states, and gave us a starting geometry to work with. During these early optimizations, the TM atoms' electronic states were populated in a ferromagnetic alignment, and their spin was locked for the first 3-5 iterations of the first self-consistent field (SCF) cycle. After this initial spin locking, the system was left unconstrained and allowed to drift toward the magnetic state that minimized its energy.We further investigated the structures' magnetic behavior starting from their pre-optimized geometries (obtained from the discussion above). In order to find the most stable magnetic structure at each transition metal concentration, we tested all magnetic states that were compatible with the P6m2 symmetry of the system. These magnetic states include NM, FM, and AFM/FiM configurations for some structures. Table in the supplementary information shows the different magnetic configurations tested at each TM concentration. For every magnetic configuration, we ran one single-point energy (self consistent field) calculation on the pre-optimized geometries, where the TM magnetic states were spin-locked for the first 10 iterations of the cycle. After the single-point calculations, if an AFM, FiM, or NM structure was more energetically favorable than its initial FM configuration, we computed another geometry optimization for that particular magnetic structure. Even though the atomic structure remains the same, changing a structure's magnetic configuration can result in vastly different electronic properties. Therefore, it was crucial to find the most stable magnetic state in our materials.Table shows the preferred magnetic","Why were NM, FM, and AFM/FiM configurations tested for some structures, and how was the most stable magnetic state determined?","NM, FM, and AFM/FiM configurations were tested for some structures to find the most stable magnetic structure at each transition metal concentration, compatible with the P6m2 symmetry of the system. The most stable state was determined by running single-point energy calculations on pre-optimized geometries with spin-locked TM magnetic states, followed by additional geometry optimizations if an AFM, FiM, or NM structure proved more energetically favorable than the initial FM configuration.","['Unclassified', 'Unclassified']",
"μs -1 K -n , n = 3.16(5A z Y = -93.86, A x,y Y = -88.7(4) |A iso C1-5 | = 1.1(8) |A iso H2-5 | = 2(1) CASSCF - g z = 2.002, g x,y = 1.989(1) a For the parallel and perpendicular C hyperfines, the labels refer to the local principal axes, with the unique axis defined by the Cp¢ π-system, i.e. orthogonal to the molecular z axis.Given the long T m times, we are able to perform coherent spin manipulations as demonstrated by observation of Rabi oscillations (20) even at room temperature for 1@5 in transient nutation experiments (Fig. ; see Supplementary Information). These periodic oscillations in echo intensity as a function of the duration of a preceding nutation pulse correspond to cyclical generation of ç±m S ñ superposition states. All oscillations show the characteristic linear dependence of Rabi frequency (W R ) on nutation pulse attenuation (Figs. 2b, 2c and S10 -S22). W R is independent of temperature and the m I transition being monitored (Figs. S15 and S22), and is very similar between 1@5 and a frozen THF solution of 1(Figs. S10 -S22).The robustness of spin coherence in 1 prompted us to investigate the spin distribution by CW and pulsed EPR methods. We have quantified the electron spin density on the ligands with hyperfine sub-level correlation and electron nuclear double resonance (HYSCORE and ENDOR respectively (19); see Supplementary Information) measurements on 1 in THF solution. Weak hyperfine couplings to 1 H and C nuclei are observed (Fig. , S25 -S28; Table ), and are on the order of 1 -2 MHz for the Cp¢ ligands. We can be confident that we are not missing any large ligand hyperfine interactions (i.e. > 4MHz) because there is no resolution of 1 H hyperfine in the CW EPR (which has narrow",How do the hyperfine couplings to 1H nuclei compare to those to C nuclei for the Cp¢ ligands?,"The hyperfine couplings to 1H nuclei and C nuclei for the Cp¢ ligands are on the order of 1-2 MHz, indicating they are similar.","['Quantum and theoretical chemistry', 'Quantum computing']",
